Category: All categories

Month,Mental health: (United States)
2004-01,38
2004-02,41
2004-03,42
2004-04,45
2004-05,39
2004-06,36
2004-07,38
2004-08,37
2004-09,43
2004-10,43
2004-11,42
2004-12,35
2005-01,37
2005-02,42
2005-03,41
2005-04,40
2005-05,41
2005-06,37
2005-07,36
2005-08,35
2005-09,37
2005-10,34
2005-11,36
2005-12,30
2006-01,33
2006-02,33
2006-03,34
2006-04,37
2006-05,34
2006-06,35
2006-07,31
2006-08,31
2006-09,33
2006-10,35
2006-11,32
2006-12,26
2007-01,34
2007-02,35
2007-03,36
2007-04,38
2007-05,36
2007-06,33
2007-07,33
2007-08,32
2007-09,36
2007-10,39
2007-11,36
2007-12,30
2008-01,35
2008-02,37
2008-03,38
2008-04,39
2008-05,35
2008-06,33
2008-07,33
2008-08,31
2008-09,35
2008-10,37
2008-11,35
2008-12,29
2009-01,34
2009-02,35
2009-03,37
2009-04,36
2009-05,33
2009-06,35
2009-07,32
2009-08,32
2009-09,34
2009-10,37
2009-11,34
2009-12,29
2010-01,33
2010-02,35
2010-03,36
2010-04,36
2010-05,34
2010-06,32
2010-07,28
2010-08,29
2010-09,31
2010-10,32
2010-11,31
2010-12,27
2011-01,34
2011-02,35
2011-03,37
2011-04,35
2011-05,33
2011-06,31
2011-07,30
2011-08,30
2011-09,32
2011-10,33
2011-11,32
2011-12,28
2012-01,30
2012-02,34
2012-03,32
2012-04,34
2012-05,33
2012-06,30
2012-07,30
2012-08,30
2012-09,32
2012-10,33
2012-11,30
2012-12,30
2013-01,34
2013-02,35
2013-03,33
2013-04,35
2013-05,33
2013-06,30
2013-07,32
2013-08,33
2013-09,33
2013-10,37
2013-11,34
2013-12,30
2014-01,34
2014-02,37
2014-03,35
2014-04,40
2014-05,38
2014-06,33
2014-07,32
2014-08,32
2014-09,37
2014-10,38
2014-11,34
2014-12,31
2015-01,34
2015-02,36
2015-03,38
2015-04,40
2015-05,38
2015-06,35
2015-07,36
2015-08,36
2015-09,39
2015-10,44
2015-11,39
2015-12,36
2016-01,36
2016-02,40
2016-03,39
2016-04,40
2016-05,39
2016-06,36
2016-07,34
2016-08,36
2016-09,40
2016-10,42
2016-11,34
2016-12,31
2017-01,39
2017-02,42
2017-03,42
2017-04,42
2017-05,40
2017-06,35
2017-07,37
2017-08,39
2017-09,39
2017-10,45
2017-11,41
2017-12,37
2018-01,42
2018-02,62
2018-03,53
2018-04,57
2018-05,52
2018-06,50
2018-07,47
2018-08,49
2018-09,51
2018-10,59
2018-11,55
2018-12,49
2019-01,54
2019-02,59
2019-03,59
2019-04,60
2019-05,60
2019-06,52
2019-07,49
2019-08,50
2019-09,55
2019-10,61
2019-11,60
2019-12,49
2020-01,56
2020-02,58
2020-03,51
2020-04,51
2020-05,52
2020-06,52
2020-07,55
2020-08,54
2020-09,61
2020-10,68
2020-11,54
2020-12,50
2021-01,53
2021-02,64
2021-03,63
2021-04,62
2021-05,70
2021-06,59
2021-07,54
2021-08,50
2021-09,60
2021-10,67
2021-11,67
2021-12,57
2022-01,68
2022-02,77
2022-03,81
2022-04,87
2022-05,86
2022-06,71
2022-07,72
2022-08,68
2022-09,79
2022-10,82
2022-11,79
2022-12,71
2023-01,72
2023-02,83
2023-03,88
2023-04,89
2023-05,100
2023-06,82
2023-07,70
2023-08,70
2023-09,80
2023-10,90
